# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.


# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=english,English
	ICON=Icons/canadian-english.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		This game features Auto Saving
	AUTOSAVING_DESC_NS=
		Do not turn off the console
		when this icon is displayed
	AUTOSAVING_TITLE_PS4=
		This game features Auto Saving
	AUTOSAVING_DESC_PS4=
		Do not turn off the console
		when this icon is displayed
	AUTOSAVING_TITLE_XB1=
		This game features Auto Saving
	AUTOSAVING_DESC_XB1=
		Do not turn off your console
		when this icon is displayed
	AUTOSAVING_TITLE_PC=
		This game features Auto Saving
	AUTOSAVING_DESC_PC=
		Do not turn off your computer
		when this icon is displayed

# Main Menu
	MENU_DEBUG=		~DEBUG~
	OPTIONS_MUSIC=			Music
	OPTIONS_SOUNDS=			Sounds

	OPTIONS_GAMEPLAY=		GAMEPLAY
	OPTIONS_SPEEDRUN=		Speedrun Clock
	OPTIONS_SPEEDRUN_CHAPTER=Chapter
	OPTIONS_SPEEDRUN_FILE=	File
	OPTIONS_DASHES=			Dash Counter
	OPTIONS_LANGUAGE=		Language
	OPTIONS_ON=				ON
	OPTIONS_OFF=			OFF

# KEYBOARD CONFIG
	KEY_CONFIG_TITLE=		Keyboard Config
	KEY_CONFIG_GAMEPLAY=	GAMEPLAY
	KEY_CONFIG_LEFT=		Left
	KEY_CONFIG_RIGHT=		Right
	KEY_CONFIG_UP=			Up
	KEY_CONFIG_DOWN=		Down
	KEY_CONFIG_JUMP=		Jump
	KEY_CONFIG_DASH=		Dash
	KEY_CONFIG_GRAB=		Grab
	KEY_CONFIG_TALK=		Talk
	KEY_CONFIG_MENUS=		MENU
	KEY_CONFIG_CONFIRM=		Confirm
	KEY_CONFIG_CANCEL=		Cancel
	KEY_CONFIG_PAUSE=		Pause
	KEY_CONFIG_JOURNAL=		Journal
	KEY_CONFIG_QUICKRESTART=Quick Restart
	KEY_CONFIG_RESET=		Reset All to Defaults
	KEY_CONFIG_CHANGING=	PRESS KEY FOR
	KEY_CONFIG_MOVE_ONLY=	FOR MOVEMENT ONLY
	KEY_CONFIG_DASH_ONLY=	FOR DASHING ONLY

# CONTROLLER CONFIG
	BTN_CONFIG_TITLE=		Controller Config
	BTN_CONFIG_INFO=		PRESS | TO ADD A BUTTON, | TO CLEAR BUTTONS
	BTN_CONFIG_CHANGING=	PRESS BUTTON TO ADD FOR
	BTN_CONFIG_NOCONTROLLER=Please Attach a Controller

# ADDITIONAL OPTIONS FOR V1.4.0.0
	KEY_CONFIG_DEMO=		Crouch Dash
	KEY_CONFIG_ADVANCED=	ADVANCED
	KEY_CONFIG_MENU_NOTICE= EACH ACTION REQUIRES 1 UNIQUE BIND

# PICO-8
	PICO8_UNLOCKED=			Now playable from the Main Menu
	PICO8_PAUSE_TITLE=		PAUSED
	PICO8_PAUSE_CONTINUE=	Resume
	PICO8_PAUSE_RESTART=	Reset PICO-8
	PICO8_PAUSE_QUIT=		Exit PICO-8

# FILE MENU
	FILE_DEFAULT=		Madeline
	FILE_CORRUPTED=		Corrupted :(
	FILE_FAILEDTOLOAD=	Failed to Load
	FILE_NEWGAME=		Start New Game!
	FILE_CONTINUE=		Continue
	FILE_DELETE=		Delete
	FILE_BEGIN=			Begin
	FILE_ASSIST_OFF=	Assist Mode : OFF
	FILE_ASSIST_ON=		Assist Mode : ON
	FILE_VARIANT_OFF=	Variant Mode : OFF
	FILE_VARIANT_ON=	Variant Mode : ON
	FILE_RENAME=		Rename
	FILE_DELETE_REALLY=	Are you sure?
	FILE_DELETE_NO=		Cancel
	FILE_DELETE_YES=	Delete
	FILE_DELETE_FAILED=	Failed to Delete File!

# Assist Mode
	ASSIST_MODE_0=
		{# 44adf7}Assist Mode{#} allows you to modify{n}
		the game's rules to fit your specific needs.		
	ASSIST_MODE_1=
		This includes options such as slowing the game speed,{n}
		granting yourself invincibility or infinite stamina,{n}
		and skipping chapters entirely.
	ASSIST_MODE_2=
		Celeste is intended to be a challenging and rewarding experience.{n}
		If the default game proves inaccessible to you, we hope that{n} 
		you can still find that experience with {# 44adf7}Assist Mode{#}.
	ASSIST_ASK=		Would you like to play with {# 44adf7}Assist Mode{#}?
	ASSIST_YES=		Yes
	ASSIST_NO=		No
	ASSIST_SKIP=	Assist{n}Skip

# File Naming
	NAME_LETTERS=
		ABCDEFGHI abcdefghi
		JKLMNOPQR jklmnopqr
		STUVWXYZ  stuvwxyz
		1234567890+=:~!@$%
		^&*_-#"'()<>/\.,|`

	NAME_SPACE=			space
	NAME_BACKSPACE=		backspace
	NAME_ACCEPT=		ACCEPT
	NAME_BACK=			CANCEL

# Xbox One Stuff
	XB1_MENU_SWITCH_PROFILE=	Switch Profile
	XB1_SIGN_OUT_MESSAGE=		A sign-in change has occured. Please sign back in or exit to the title screen.
	XB1_SIGN_IN=				Sign-in
	XB1_RECONNECT_CONTROLLER=	Please reconnect your controller to continue.

# Intro Vignette
	INTRO_VIGNETTE_RESUME=	Continue
	INTRO_VIGNETTE_SKIP=	Skip
	INTRO_VIGNETTE_QUIT=	Quit

# Overworld
	OVERWORLD_START=			Start
	OVERWORLD_NORMAL=			CLIMB
	OVERWORLD_INTERLUDE=		BEGIN
	OVERWORLD_REMIX=			B-SIDE
	OVERWORLD_REMIX2=			C-SIDE
	OVERWORLD_REMIX_UNLOCKED=	B-Side Unlocked!
	OVERWORLD_REMIX_UNLOCKED2=	C-Side Unlocked!

# Chapter Titles
	AREA_CHAPTER=	Chapter {x}
	AREA_0=			Prologue
	AREA_1=			Forsaken City
	AREA_2=			Old Site
	AREA_3=			Celestial Resort
	AREA_4=			Golden Ridge
	AREA_5=			Mirror Temple
	AREA_6=			Reflection
	AREA_7=			The Summit
	AREA_8=			Epilogue
	AREA_9=			Core
	AREA_10=		Farewell

# Checkpoints
	CHECKPOINT_1_0=		Crossing
	CHECKPOINT_1_1=		Chasm

	CHECKPOINT_2_0=		Intervention
	CHECKPOINT_2_1=		Awake

	CHECKPOINT_3_0=		Huge Mess
	CHECKPOINT_3_1=		Elevator Shaft
	CHECKPOINT_3_2=		Presidential Suite

	CHECKPOINT_4_0=		Shrine
	CHECKPOINT_4_1=		Old Trail
	CHECKPOINT_4_2=		Cliff Face

	CHECKPOINT_5_0=		Depths
	CHECKPOINT_5_1=		Unravelling
	CHECKPOINT_5_2=		Search
	CHECKPOINT_5_3=		Rescue

	CHECKPOINT_6_0=		Lake
	CHECKPOINT_6_1=		Hollows
	CHECKPOINT_6_2=		Reflection
	CHECKPOINT_6_3=		Rock Bottom
	CHECKPOINT_6_4=		Resolution

	CHECKPOINT_7_0=		500 M
	CHECKPOINT_7_1=		1000 M
	CHECKPOINT_7_2=		1500 M
	CHECKPOINT_7_3=		2000 M
	CHECKPOINT_7_4=		2500 M
	CHECKPOINT_7_5=		3000 M

	CHECKPOINT_8_0=		Into the Core
	CHECKPOINT_8_1=		Hot and Cold
	CHECKPOINT_8_2=		Heart of the Mountain

	CHECKPOINT_9_0=		Singular
	CHECKPOINT_9_1=		Power Source
	CHECKPOINT_9_2=		Remembered
	CHECKPOINT_9_3=		Event Horizon
	CHECKPOINT_9_4=		Determination
	CHECKPOINT_9_5=		Stubbornness
	CHECKPOINT_9_6=		Reconciliation
	CHECKPOINT_9_7=		Farewell

# B-Side Checkpoints
	CHECKPOINT_1H_0=	Contraption
	CHECKPOINT_1H_1=	Scrap Pit

	CHECKPOINT_2H_0=	Combination Lock
	CHECKPOINT_2H_1=	Dream Altar

	CHECKPOINT_3H_0=	Staff Quarters
	CHECKPOINT_3H_1=	Library
	CHECKPOINT_3H_2=	Rooftop

	CHECKPOINT_4H_0=	Stepping Stones
	CHECKPOINT_4H_1=	Gusty Canyon
	CHECKPOINT_4H_2=	Eye of the Storm

	CHECKPOINT_5H_0=	Central Chamber
	CHECKPOINT_5H_1=	Through the Mirror
	CHECKPOINT_5H_2=	Mix Master

	CHECKPOINT_6H_0=	Reflection
	CHECKPOINT_6H_1=	Rock Bottom
	CHECKPOINT_6H_2=	Reprieve

	CHECKPOINT_7H_0=	500 M
	CHECKPOINT_7H_1=	1000 M
	CHECKPOINT_7H_2=	1500 M
	CHECKPOINT_7H_3=	2000 M
	CHECKPOINT_7H_4=	2500 M
	CHECKPOINT_7H_5=	3000 M

	CHECKPOINT_8H_0=	Into the Core
	CHECKPOINT_8H_1=	Burning or Freezing
	CHECKPOINT_8H_2=	Heartbeat

# Postcards
	POSTCARD_AREA_1=
		Select {#ff1144}Save and Quit{#} from the pause menu at any time to take a break. You'll resume from the same screen and you won't lose any progress!

	POSTCARD_AREA_2=
		{#ff1144}Strawberries{#} will impress your friends, but that's about it. Only collect them if you really want to!

	POSTCARD_AREA_3=
		Be proud of your {#ff1144}Death Count{#}!{n}The more you die, the more you're learning.{n}Keep going!

	POSTCARD_AREA_4=
		{# F94A4A}Climbing Tip!{#}{n}Low on energy in a pinch?{n}{n}Jumping away from walls{n}doesn't consume stamina!

	POSTCARD_AREA_5=
		{# F94A4A}Did You Know?{#}{n}Most climbing mishaps{n}occur due to exhaustion.{n}{n}Remember to take regular breaks!

	POSTCARD_AREA_6=
		{# F94A4A}Did You Know?{#}{n}{n}It is impossible to{n}outrun your own reflection.

	POSTCARD_CSIDES=
		Ready for a real challenge?{n}{n}{# F94A4A}C-Sides{#} have been unlocked, and{n}{# dbb63f}Golden Strawberries{#} have appeared{n}at the start of every chapter!{n}{n}Good luck, {+MADELINE}!

	POSTCARD_VARIANTS=
		Wow, you did it!{n}{n}{# 9B3FB5}Variants{#} are now accessible from the File Select Menu.

# Journal
	JOURNAL_OF=
	JOURNAL_PROGRESS=				PROGRESS
	JOURNAL_SPEEDRUNS=				RECORDS:{n}SPEEDRUNS
	JOURNAL_DASHES=					RECORDS:{n}FEWEST DASHES
	JOURNAL_DEATHS=					RECORDS:{n}FEWEST DEATHS
	JOURNAL_POEM=					CRYSTAL HEARTS
	JOURNAL_MODE_NORMAL=			CLEAR
	JOURNAL_MODE_NORMAL_FULLCLEAR=	FULL CLEAR
	JOURNAL_MODE_BSIDE=				B-SIDE
	JOURNAL_MODE_CSIDE=				C-SIDE
	JOURNAL_TOTALS=					TOTALS
	JOURNAL_GRANDTOTAL=				GRAND TOTAL

# Stats
	STATS_TITLE=			Global Steam Stats
	STAT_BERRIES=			Strawberries
	STAT_DEATHS=			Deaths
	STAT_DASHES=			Dashes
	STAT_GOLDBERRIES=		Golden Berries
	STAT_PICO_BERRIES=		PICO-8 Strawberries
	STAT_PICO_DEATHS=		PICO-8 Deaths
	STAT_PICO_COMPLETES=	PICO-8 Completes

# Saving / Loading Failed
	SAVEFAILED_TITLE=	UNABLE TO SAVE
	SAVEFAILED_RETRY=	Try Again
	SAVEFAILED_IGNORE=	Continue Without Saving
	LOADFAILED_TITLE=	UNABLE TO LOAD
	LOADFAILED_GOBACK=	Go Back
	LOADFAILED_IGNORE=	Continue Without Saving

# Tutorial
	TUTORIAL_CLIMB=		CLIMB
	TUTORIAL_HOLD=		HOLD
	TUTORIAL_DASH=		DASH
	TUTORIAL_DREAMJUMP=	JUMP
	TUTORIAL_CARRY=		CARRY

# Area Complete
	AREACOMPLETE_NORMAL=				Chapter Complete
	AREACOMPLETE_NORMAL_FULLCLEAR=		Chapter Clear
	AREACOMPLETE_BSIDE=					B-Side Complete
	AREACOMPLETE_CSIDE=					C-Side Complete
	MOUNTAIN_COMPLETE_NORMAL=			Complete
	MOUNTAIN_COMPLETE_NORMAL_FULLCLEAR=	Clear
	MOUNTAIN_COMPLETE_BSIDE=			B-Side Complete
	MOUNTAIN_COMPLETE_CSIDE=			C-Side Complete

# Game Paused
	MENU_PAUSE_TITLE=			PAUSED
	MENU_PAUSE_RESUME=			Resume
	MENU_PAUSE_SKIP_CUTSCENE=	Skip Cutscene
	MENU_PAUSE_RETRY=			Retry
	MENU_PAUSE_ASSIST=			Assist Options
	MENU_PAUSE_VARIANT=			Variants
	MENU_PAUSE_OPTIONS=			Options
	MENU_PAUSE_RESTARTAREA=		Restart Chapter
	MENU_PAUSE_SAVEQUIT=		Save and Quit
	MENU_PAUSE_RETURN=			Return to Map
	MENU_PAUSE_RESTARTDEMO=		Restart Demo
	MENU_RETURN_TITLE=			RETURN TO MAP?
	MENU_RETURN_CONTINUE=		Yes
	MENU_RETURN_CANCEL=			Cancel
	MENU_RETURN_INFO=			Returning to Map will save your progress{n}
								but you must restart at the last checkpoint
	MENU_RESTART_TITLE=			RESTART CHAPTER?
	MENU_RESTART_CONTINUE=		Yes
	MENU_RESTART_CANCEL=		Cancel

# Assist UI
	MENU_ASSIST_TITLE=					ASSIST MODE
	MENU_ASSIST_SUBTITLE=				Assists
	MENU_ASSIST_GAMESPEED=				Game Speed
	MENU_ASSIST_INVINCIBLE=				Invincibility
	MENU_ASSIST_AIR_DASHES=				Air Dashes
	MENU_ASSIST_DASH_ASSIST=			Dash Assist
	MENU_ASSIST_AIR_DASHES_NORMAL=		Default
	MENU_ASSIST_AIR_DASHES_TWO=			2
	MENU_ASSIST_AIR_DASHES_INFINITE=	Infinite
	MENU_ASSIST_INFINITE_STAMINA=		Infinite Stamina

# Variant UI
	MENU_VARIANT_TITLE=					VARIANTS
	MENU_VARIANT_SUBTITLE=				Variants
	MENU_VARIANT_MIRROR=				Mirror Mode
	MENU_VARIANT_360DASHING=			360 Dashing
	MENU_VARIANT_INVISMOTION=			Invisible Motion
	MENU_VARIANT_PLAYASBADELINE=		Other Self
	MENU_VARIANT_NOGRABBING=			No Grabbing
	MENU_VARIANT_LOWFRICTION=			Low Friction
	MENU_VARIANT_SUPERDASHING=			Super Dashing
	MENU_VARIANT_HICCUPS=				Hiccups

# Misc UI
	UI_CUTSCENE_SKIP=	Skip
	UI_REMIX_UNLOCKED=	B-Side Unlocked
	UI_CANCEL=			Back
	UI_CONFIRM=			Confirm
	UI_QUICK_RESTART_TITLE=Quick Restart: 
	UI_QUICK_RESTART_HOLD=Hold
	UI_QUICK_RESTART_PRESS=Press

# B SIDES
	REMIX_BY=			Music by
	REMIX_ALBUM=		Celeste B-Sides

	AREA_1_REMIX=		(Sever the Skyline Mix)
	AREA_2_REMIX=		(Black Moonrise Mix)
	AREA_3_REMIX=		(Good Karma Mix)
	AREA_4_REMIX=		(Golden Feather Mix)
	AREA_5_REMIX=		(Mirror Magic Mix)
	AREA_6_REMIX=		(Center of the Earth Mix)
	AREA_7_REMIX=		(No More Running Mix)
	AREA_9_REMIX=		(Say Goodbye Mix)

# Credits
	CREDITS_THANKYOU=	Thanks for playing :)

# Names
	THEO=				{# FF9523}Theo{#}
	THEO_UNDER_STARS=	{# FFFF4C}TheoUnderStars{#}
	MIXMASTER_THEO=		{# FF9523}Mix Master Theo{#}
	MOM=				{# 339CC7}Mom{#}
	MROSHIRO=			{# 7BD838}Mr\. Oshiro{#}
	OSHIRO=				{# 7BD838}Oshiro{#}
	ELCREEPO=			{# 7BD838}El Creepo{#}
	MADELINE=			{# F94A4A}{savedata Name}{#}
	MS_MADELINE=		{# F94A4A}Ms\. {savedata Name}{#}
	RESORT=				{# b864be}Celestial Resort{#}
	THOUGHT=			{# 696a6a}{~}(
	ENDTHOUGHT=			){/~}{#}
	MOUNTAIN=			{# 96EFFF}Mountain{#}
	CELESTE_MOUNTAIN=	{# 96EFFF}Celeste Mountain{#}
	PART_OF_ME=			{# d678db}{~}Part of Me{/~}{#}
	PART_OF_YOU=		{# d678db}{~}Part of You{/~}{#}
	ST_BAD=				{# d678db}{~}
	END_BAD=			{/~}{#}
	GRANNY=				{# 66ea3a}Granny{#}
	PART_OF_HER=		{# 66ea3a}{~}Part of Her{/~}{#}
	PART_OF_GRANNY=		{# 66ea3a}{~}Part of Granny{/~}{#}

# Theo sister name
# if the player name is the same as this one, theo's sister name becomes the ALT_NAME
	THEO_SISTER_NAME=		Alex
	THEO_SISTER_ALT_NAME=	Maddy
	ALEX=					{# F94A4A}{savedata TheoSisterName}{#}

# ================================== IN-GAME DIALOG BEGINS HERE! ==================================

# *** Prologue ***

	CH0_INTRO=
		This is it, {+MADELINE}.
		Just breathe.
		Why are you so nervous?

	CH0_GRANNY=
		{anchor top}

		[MADELINE left normal]
		Excuse me, ma'am?

		{trigger 0 Madeline walks forward}

		[MADELINE left normal]
		The sign out front is busted...{n}is this the {+mountain} trail?

		[GRANNY right normal]
		You're almost there.{n}It's just across the bridge.

		{trigger 1 Madeline walks to the right of the house, turns left}
		
		[MADELINE right sad]
		By the way, you should call someone about your driveway. The ridge collapsed and I nearly died.

		{trigger 2 Granny laughs}

		[GRANNY left laugh]
		If my {>> 0.3}"driveway"{>>}{0.2} almost did you in,{n}the {+mountain} might be a bit much for you.

		{trigger 3 Laugh Continues}

		[MADELINE right upset]
		{0.5}...{0.2}

		[MADELINE right angry]
		Well, if an old bat like {~}you{/~} can{n}survive out here, I think I'll be fine.

		{trigger 4 Stop laughing}

		[GRANNY left normal]
		Suit yourself.

		{silent_trigger 5 Ominous zoom-in}

		[GRANNY left normal]
		But you should know,{n}{+CELESTE_MOUNTAIN} is a strange place.

		[GRANNY left creepA]
		You might see things.

		[GRANNY left creepB]
		Things you ain't ready to see.

		{trigger 6 pan to Maddy}

		[MADELINE right upset]
		You should seek help, lady.

		{trigger 3 resume laughing}

	CH0_END=
		You can do this.

# *** Chapter 01 ***

	CH1_THEO_A=
		[THEO left normal]
		Ho there, fellow traveller!

		[MADELINE right distracted]
		Oh... hi.

		{trigger 0 Madeline approaches}
		
		[THEO left normal]
		What a killer night for a hike!

		[MADELINE right distracted]
		I guess so.

		[THEO left normal]
		This place is so crazy. 

		[THEO left excited]
		I kind of can't believe it exists!

		[MADELINE right sad]
		Not the easiest climb, is it?

		[MADELINE right distracted]
		But I guess that's what I was looking for...
		
		[THEO left normal]
		Whoa, that sounds pretty serious.
		I'm just happy to see another{n}human in such a lonely place.

		[THEO left excited]
		I'm {+ theo} by the way, an adventurer from a {>> 0.3}{~}far off land!{/~}{>>}
		
		[MADELINE right sad]
		...{0.2}

		[THEO left thinking]
		Not much of a talker, are you?

		[THEO left normal]
		Mysterious lone wolf type, I get it.{n}I'll just imagine some dark backstory for you.

	CH1_THEO_B=
		[MADELINE right sad]
		Hey, sorry. I'm {+MADELINE}.
		I've got a lot on my mind.

		[THEO left normal]
		Well, {+MADELINE}, I'd say you've come to the right place!

		[THEO left thinking]
		I'm freezing my toes off, but I can't imagine{n}a better place to be for some quiet reflection.
		
		[MADELINE right sad]
		Yeah, maybe you're right.

		[MADELINE right normal]
		What "{>> 0.5}{~}far off land{/~}{>>}" do you hail from?
		
		[THEO left excited]
		Well, my inquisitive compatriot, I doth hail{n}from the {0.3}{~}mystical,{0.4} exotic{/~}{0.4} kingdom of...
		
		[THEO left normal]
		{0.4} Seattle.

		[MADELINE right normal]
		It sounds like a special place.

	CH1_THEO_C=
		[THEO left excited]
		This place is wild!

		[THEO left normal]
		Why would an entire city be abandoned?
		
		[MADELINE right normal]
		I read that some mega-corporation started{n}building it, but then no one wanted to live here.

		[MADELINE right distracted]
		I wonder why...
		
		[THEO left excited]
		My money's on a government cover-up.

		[MADELINE right distracted]
		What a waste, to build all of this for no reason...

		[THEO left normal]
		At least we get to enjoy the leftovers.

	CH1_THEO_D=
		[MADELINE right normal]
		Are you here to explore this city?
		
		[THEO left normal]
		Yeah, I have a thing for abandoned places.
		
		[THEO left thinking]
		And I like to think of myself{n}as a budding photographer.
		
		[MADELINE right normal]
		Oh really? Cool!
		Do you have a blog or something?
		
		[THEO left thinking]
		A blog?
		{+MADELINE}.
		Everyone uses {# FFFF4C}InstaPix{#} now.
		
		[THEO left excited]
		I'm {+THEO_UNDER_STARS}, look me up!

	CH1_THEO_E=
		[THEO left normal]
		This terrain is pretty tricky,{n}are you turning back soon?
		
		[MADELINE right normal]
		Nope. I'm heading for the summit.
		
		[THEO left excited]
		I can really see the determination in your eyes!

		[THEO left normal]
		It's inspiring.

		[MADELINE right distracted]
		If you say so.

		[MADELINE right normal]
		I bet you could make it to the summit too.

		[THEO left normal]
		Maybe. 
		
		[THEO left thinking]
		I don't really care about reaching the top, TBH.

		[THEO left normal]
		{!}Oh!{/!} But I heard there are some {~}legit{/~}{n}old ruins up beyond the city.
		
		[THEO left excited]
		Like 1800's legit. 

		[THEO left normal]
		I know it's risky but I have to see them for myself.

	CH1_THEO_F=
		[THEO left normal]
		What's that thing you say right before{n}you do something irresponsible?

		[MADELINE right sad]
		Uh... "throw caution to the wind?"

		[THEO left wtf]
		No, that's not it.

		[THEO left excited]
		Oh right...

		{trigger 0 Theo pumps his fist in the air}
		
		[THEO left yolo]
		{big}{~}Y{>> 0.5}OLO{>> 0.2}OOOOOOOO!!{>>}{/~}{/big}

	MEMORIAL=
		-- CELESTE MOUNTAIN --
		This memorial dedicated to those
		Who perished on the climb

	CH1_END=
		[MADELINE left distracted]
		Ugh, I'm exhausted.

		{trigger 0 MADELINE sits down to rest. A bird swoops in, lands on her head, and goes to sleep}
		
		[MADELINE left deadpan]
		{>> 0.4}This might have been a mistake.

# *** Chapter 02 ***

	CH2_BADELINE_INTRO=
		{anchor top}
		
		[BADELINE left normal]
		{+MADELINE}, darling, slow down.

		{trigger 0 Madeline turns around}
		
		[MADELINE right distracted]
		Who said that?
		
		[BADELINE left normal]
		Oh, I'm simply a concerned observer.

		{trigger 1 Badeline is revealed}
		
		[MADELINE right sad]
		Are you... me?

		[BADELINE left normal]
		I'm {+PART_OF_YOU}.

		[MADELINE right sad]
		Why would {+PART_OF_ME} look so {0.3}{*}creepy?{/*}

		[BADELINE left worried]
		...

		[BADELINE left angry]
		This is just what I look like, okay?
		Deal with it.

		[MADELINE right distracted]
		Sorry, I didn't mean-

		[BADELINE left angry]
		Forget about it.
		I can't tell you what a relief it is{n}to {~}finally{/~} get out of your head.

		[BADELINE left upset]
		But look, I'm worried about us.

		[BADELINE left normal]
		We need a hobby, but this...
		
		[MADELINE right sad]
		I know it sounds crazy, but{n}I need to climb this {+mountain}.

		{trigger 2 Badeline starts laughing}
		
		[BADELINE left scoff]
		You are many things, darling,{n}but you are not a {~}mountain climber{/~}.

		[MADELINE right distracted]
		Who says I can't be?

		{trigger 3 Badeline stops laughing}
		
		[BADELINE left upset]
		I know it's not your strong suit,{n}but be reasonable for once.
		You have no idea what you're getting into.
		You can't handle this.
		
		[MADELINE right upset]
		That is exactly why I need to do this.
		Are you the weak {+PART_OF_ME}, or the lazy part?

		[BADELINE left upset]
		I'm the pragmatic part.
		
		[BADELINE left scoff]
		And I'm {~}trying{/~} to be diplomatic here.
		
		[BADELINE left serious]
		{s 4}Let's go home {.6}[BADELINE left serious_alt]together.

	CH2_DREAM_PHONECALL=
		[MADELINE_PHONE left distracted]
		Hello?
		
		[EX_PHONE right normal]
		{+MADELINE}?
		...are you calling from a payphone?

		[MADELINE_PHONE left distracted]
		Yeah.

		[MADELINE_PHONE left sad]
		No, wait... you called me.

		[EX_PHONE right normal]
		What are you talking about?
		
		[MADELINE_PHONE left distracted]
		It doesn't matter. I'm in trouble.
		I'm being chased by... someone.

		[MADELINE_PHONE left sad]
		I don't really understand what's going on,{n}but I know I'm in danger. I can feel it.
		
		[EX_PHONE right normal]
		{+MADELINE}, you only call me when you're{n}panicking in the middle of the night.
		You don't have to make up some{n}ridiculous story just to get my attention.
		
		[MADELINE_PHONE left angry]
		I'm not making it up!
		You always do this!
		
		[EX_PHONE right normal]
		{~}Shhh{/~} {0.5}it's alright, calm down.
